dataset_name,COPOD_ROC,DeepSVDD_ROC,COPOD_PR,DeepSVDD_PR,difficulty,radius,vectors,classes,train_len,test_len,anomaly_len,radius_diff
0_3_000000000_000000000_media_religion,0.5274674514239664,0.4444528393523128,0.5522065989101368,0.4625606566827628,0,3,"['000000000', '000000000']","['media', 'religion']",24189,11042,5521,radius: 3 ; differance: 0
0_3_000000001_000000001_good news_weird news,0.5820336907024275,0.4779864175839937,0.6055932580643184,0.4761398793743377,0,3,"['000000001', '000000001']","['good news', 'weird news']",41241,8350,4175,radius: 3 ; differance: 0
0_3_000100000_000100000_latino voices,0.5971375988722687,0.478650638264547,0.5630365702998583,0.4962675918593458,0,3,"['000100000', '000100000']",['latino voices'],52429,2260,1130,radius: 3 ; differance: 0
0_3_000101000_000101000_black voices_women,0.5213742777222883,0.5053328952646099,0.5139473455619581,0.5052056809717951,0,3,"['000101000', '000101000']","['black voices', 'women']",144465,16310,8155,radius: 3 ; differance: 0
0_3_000101010_000101010_queer voices,0.4519805044179747,0.4910030081364728,0.4669727733504895,0.4912938996574678,0,3,"['000101010', '000101010']",['queer voices'],139216,12694,6347,radius: 3 ; differance: 0
0_3_001000100_001000100_style,0.5103726964997486,0.5935399566801274,0.5013131338324797,0.5905673073348777,0,3,"['001000100', '001000100']",['style'],120171,24136,12068,radius: 3 ; differance: 0
0_3_010000000_010000000_fifty,0.2267030636320238,0.5070330614259928,0.3557001192852701,0.5013381191608661,0,3,"['010000000', '010000000']",['fifty'],23370,2802,1401,radius: 3 ; differance: 0
0_3_010001000_010001000_college,0.4366617866399335,0.4604435119076727,0.4606431484550728,0.4659241958668996,0,3,"['010001000', '010001000']",['college'],58599,2288,1144,radius: 3 ; differance: 0
0_3_010010001_010010001_business_crime,0.5244514297255677,0.4668552867126512,0.5361281001029761,0.4777404666903057,0,3,"['010010001', '010010001']","['business', 'crime']",87589,19108,9554,radius: 3 ; differance: 0
0_3_010011001_010011001_education,0.4265470785725679,0.4636645153258718,0.4375748689814072,0.4679812804908153,0,3,"['010011001', '010011001']",['education'],144480,2028,1014,radius: 3 ; differance: 0
0_3_010011011_010011011_money,0.4816846633215892,0.5292420779261212,0.4593407023276185,0.5133029567827274,0,3,"['010011011', '010011011']",['money'],117403,3512,1756,radius: 3 ; differance: 0
0_3_011000010_011000010_weddings,0.4111881612741336,0.5259800565165531,0.4173614780560956,0.5124211278094742,0,3,"['011000010', '011000010']",['weddings'],82893,7306,3653,radius: 3 ; differance: 0
0_3_011000110_011000110_home & living,0.555667438271605,0.5358895426097394,0.5143950011166314,0.5462961526476511,0,3,"['011000110', '011000110']",['home & living'],101856,8640,4320,radius: 3 ; differance: 0
0_3_100000001_100000001_world news_u.s. news,0.7413825327484326,0.5208200473055211,0.7401578726071467,0.5242760603100959,0,3,"['100000001', '100000001']","['world news', 'u.s. news']",78249,21838,10919,radius: 3 ; differance: 0
0_3_100000010_100000010_impact,0.458119601366127,0.4742355079675366,0.4595924252800729,0.4717286314281567,0,3,"['100000010', '100000010']",['impact'],91132,6968,3484,radius: 3 ; differance: 0
0_3_100001000_100001000_environment,0.5037609582082554,0.5038471528195981,0.5184973043342236,0.4981334502319404,0,3,"['100001000', '100001000']",['environment'],123611,8132,4066,radius: 3 ; differance: 0
0_3_100011000_100011000_science,0.5143874285000357,0.4968114242127093,0.5456267222322255,0.5007514860842868,0,3,"['100011000', '100011000']",['science'],168708,4412,2206,radius: 3 ; differance: 0
0_3_101000100_101000100_food & drink,0.5657747264933571,0.4800679666339994,0.5319327202800974,0.4909511489610355,0,3,"['101000100', '101000100']",['food & drink'],108999,16872,8436,radius: 3 ; differance: 0
0_3_101000101_101000101_arts & culture,0.4682199109041401,0.5459567117173459,0.4799434795982752,0.5385859651084848,0,3,"['101000101', '101000101']",['arts & culture'],133423,7844,3922,radius: 3 ; differance: 0
0_3_110000110_110000110_healthy living tips,0.4454097105363677,0.4705919168814493,0.4641340716073688,0.4721232858493537,0,3,"['110000110', '110000110']",['healthy living tips'],108066,13388,6694,radius: 3 ; differance: 0
0_3_110011001_110011001_tech,0.650052882252165,0.5525891521129408,0.608574050422226,0.5508904944392112,0,3,"['110011001', '110011001']",['tech'],133981,4208,2104,radius: 3 ; differance: 0
0_3_111000100_111000100_travel,0.4380701561065197,0.4671818385878991,0.4412074774511217,0.4736708352513527,0,3,"['111000100', '111000100']",['travel'],126471,19800,9900,radius: 3 ; differance: 0
0_4_000000001_000000001_good news_weird news,0.6123887984510021,0.5043996701208362,0.6374434999066179,0.5200919246632731,0,4,"['000000001', '000000001']","['good news', 'weird news']",16739,8350,4175,radius: 4 ; differance: 0
0_4_000100000_000100000_latino voices,0.6341702560889655,0.5191025139008536,0.6053975091966455,0.5151937648720527,0,4,"['000100000', '000100000']",['latino voices'],28580,2260,1130,radius: 4 ; differance: 0
0_4_000101000_000101000_black voices_women,0.5682111120341965,0.5306908942729406,0.5582679957717888,0.5316472339696565,0,4,"['000101000', '000101000']","['black voices', 'women']",42184,16310,8155,radius: 4 ; differance: 0
0_4_000101010_000101010_queer voices,0.4611657452887046,0.4568685120836698,0.4720484787984342,0.4655703217016479,0,4,"['000101010', '000101010']",['queer voices'],103263,12694,6347,radius: 4 ; differance: 0
0_4_010000000_010000000_fifty,0.3124407415728849,0.4360834338274741,0.3819304107144805,0.4421449967886223,0,4,"['010000000', '010000000']",['fifty'],2521,2802,1401,radius: 4 ; differance: 0
0_4_010001000_010001000_college,0.5391576299574552,0.4284164262311115,0.5543177210227295,0.4516073003652738,0,4,"['010001000', '010001000']",['college'],11214,2288,1144,radius: 4 ; differance: 0
0_4_010010001_010010001_business_crime,0.5334843645601576,0.5391305479569892,0.5552045205832671,0.5291739682256019,0,4,"['010010001', '010010001']","['business', 'crime']",57838,19108,9554,radius: 4 ; differance: 0
0_4_010011001_010011001_education,0.472153169240106,0.5100496403409467,0.4628202271003719,0.5186813489043062,0,4,"['010011001', '010011001']",['education'],81702,2028,1014,radius: 4 ; differance: 0
0_4_010011011_010011011_money,0.4750632066562543,0.5635029070521635,0.4547327564585242,0.5549814131956192,0,4,"['010011011', '010011011']",['money'],99621,3512,1756,radius: 4 ; differance: 0
0_4_011000010_011000010_weddings,0.4224484576274603,0.6288140973496841,0.4221592207494361,0.6212761266248361,0,4,"['011000010', '011000010']",['weddings'],28733,7306,3653,radius: 4 ; differance: 0
0_4_011000110_011000110_home & living,0.5334764017489712,0.4362711387602881,0.4983818663074243,0.4547617808920753,0,4,"['011000110', '011000110']",['home & living'],47106,8640,4320,radius: 4 ; differance: 0
0_4_100000010_100000010_impact,0.449363071597765,0.4565017412715632,0.4500976971708236,0.4630029441015861,0,4,"['100000010', '100000010']",['impact'],10944,6968,3484,radius: 4 ; differance: 0
0_4_100001000_100001000_environment,0.5180414697094594,0.5099475235108656,0.5318300027337941,0.5074920119005673,0,4,"['100001000', '100001000']",['environment'],15217,8132,4066,radius: 4 ; differance: 0
0_4_100011000_100011000_science,0.531054451347968,0.4838426930920287,0.5473650916775388,0.4937214614396221,0,4,"['100011000', '100011000']",['science'],113147,4412,2206,radius: 4 ; differance: 0
0_4_101000100_101000100_food & drink,0.5784366898529885,0.4617219272503018,0.542074187802432,0.4740638914531914,0,4,"['101000100', '101000100']",['food & drink'],96434,16872,8436,radius: 4 ; differance: 0
0_4_101000101_101000101_arts & culture,0.547994959590651,0.5064426575748774,0.5328623658579488,0.5283977866501288,0,4,"['101000101', '101000101']",['arts & culture'],68659,7844,3922,radius: 4 ; differance: 0
0_4_110000110_110000110_healthy living tips,0.4272989296320104,0.4804616355285724,0.4532124269251305,0.4994683978610827,0,4,"['110000110', '110000110']",['healthy living tips'],29747,13388,6694,radius: 4 ; differance: 0
0_4_110011001_110011001_tech,0.6485286490335266,0.5180841037892698,0.6128370718777316,0.507403157608827,0,4,"['110011001', '110011001']",['tech'],128405,4208,2104,radius: 4 ; differance: 0
0_4_111000100_111000100_travel,0.4080124375063768,0.4511520559126619,0.4227618923130264,0.4509354239754434,0,4,"['111000100', '111000100']",['travel'],26541,19800,9900,radius: 4 ; differance: 0
0_5_000100000_000100000_latino voices,0.7192411308638108,0.5877836948860521,0.6769979482070931,0.6297707003036235,0,5,"['000100000', '000100000']",['latino voices'],2730,2260,1130,radius: 5 ; differance: 0
0_5_000101000_000101000_black voices_women,0.6068935075734139,0.5196544870780377,0.5963485857079114,0.5254151928019741,0,5,"['000101000', '000101000']","['black voices', 'women']",16681,16310,8155,radius: 5 ; differance: 0
0_5_000101010_000101010_queer voices,0.5296001860173746,0.498614178502656,0.5266291964887079,0.5057034611687177,0,5,"['000101010', '000101010']",['queer voices'],27569,12694,6347,radius: 5 ; differance: 0
0_5_010001000_010001000_college,0.536121112279329,0.4990693310186317,0.5357670655321594,0.4958370398995795,0,5,"['010001000', '010001000']",['college'],2778,2288,1144,radius: 5 ; differance: 0
0_5_010011001_010011001_education,0.5007342957957432,0.4906097670094029,0.4915047800790764,0.4953437732319728,0,5,"['010011001', '010011001']",['education'],47810,2028,1014,radius: 5 ; differance: 0
0_5_010011011_010011011_money,0.5093394401751755,0.4381095275034895,0.4786235728425947,0.457403527170613,0,5,"['010011011', '010011011']",['money'],56462,3512,1756,radius: 5 ; differance: 0
0_5_011000110_011000110_home & living,0.5098058127572017,0.5600980045438957,0.4822207730838753,0.5323516277271116,0,5,"['011000110', '011000110']",['home & living'],24144,8640,4320,radius: 5 ; differance: 0
0_5_100011000_100011000_science,0.7793203280593847,0.3727016033910648,0.7594277245759797,0.4275654897260817,0,5,"['100011000', '100011000']",['science'],5767,4412,2206,radius: 5 ; differance: 0
0_5_101000100_101000100_food & drink,0.5197317554134204,0.555926265788136,0.4935870398382352,0.5585423253378801,0,5,"['101000100', '101000100']",['food & drink'],12339,16872,8436,radius: 5 ; differance: 0
0_5_101000101_101000101_arts & culture,0.6160757541045805,0.4606423290888282,0.57193314145145,0.4849312584102179,0,5,"['101000101', '101000101']",['arts & culture'],48611,7844,3922,radius: 5 ; differance: 0
0_5_110011001_110011001_tech,0.6259046005074527,0.4655966048735705,0.5876663392561825,0.4806333829229929,0,5,"['110011001', '110011001']",['tech'],56612,4208,2104,radius: 5 ; differance: 0
1_2_000000000_000000001_media_religion_good news_weird news,0.537491739388976,0.5596655073729836,0.5613833475900765,0.5477259565089345,1,2,"['000000000', '000000001']","['media', 'religion', 'good news', 'weird news']",40656,19392,9696,radius: 2 ; differance: 1
1_2_000000000_000100000_media_religion_latino voices,0.5240209960253687,0.4958268077930814,0.5340301025713958,0.5003543464214419,1,2,"['000000000', '000100000']","['media', 'religion', 'latino voices']",46908,13302,6651,radius: 2 ; differance: 1
1_2_000000000_010000000_media_religion_fifty,0.4502645714775638,0.4672829704936027,0.4887746086441633,0.4721673383225865,1,2,"['000000000', '010000000']","['media', 'religion', 'fifty']",39777,13844,6922,radius: 2 ; differance: 1
1_2_000000100_001000100_entertainment_comedy_style,0.5251517217172882,0.5047400828551689,0.5307255089311345,0.5108279529547499,1,2,"['000000100', '001000100']","['entertainment', 'comedy', 'style']",101062,69660,34830,radius: 2 ; differance: 1
1_2_000101000_000100000_black voices_women_latino voices,0.5250736722509163,0.4824200154910222,0.5162426425480523,0.4844204659537471,1,2,"['000101000', '000100000']","['black voices', 'women', 'latino voices']",145541,18570,9285,radius: 2 ; differance: 1
1_2_000101010_000101000_queer voices_black voices_women,0.4877190670308487,0.5042594598539388,0.4884497239178069,0.5031922937148533,1,2,"['000101010', '000101000']","['queer voices', 'black voices', 'women']",168662,29004,14502,radius: 2 ; differance: 1
1_2_010000000_010001000_fifty_college,0.3256294363538816,0.5418483022684025,0.3953349115779232,0.5257384789264035,1,2,"['010000000', '010001000']","['fifty', 'college']",69611,5090,2545,radius: 2 ; differance: 1
1_2_010000010_011000010_wellness_parenting_divorce_weddings,0.4024883435680013,0.4877940580533949,0.4167128961716971,0.4893976737420404,1,2,"['010000010', '011000010']","['wellness', 'parenting', 'divorce', 'weddings']",70744,75540,37770,radius: 2 ; differance: 1
1_2_010010001_010011001_business_crime_education,0.5069076949696311,0.5021863293613158,0.5222811910107028,0.5020355034289345,1,2,"['010010001', '010011001']","['business', 'crime', 'education']",137132,21136,10568,radius: 2 ; differance: 1
1_2_010011011_010011001_money_education,0.4422963286371515,0.4567727977687705,0.4386399230580338,0.4650605693294525,1,2,"['010011011', '010011001']","['money', 'education']",150506,5540,2770,radius: 2 ; differance: 1
1_2_011000110_011000010_home & living_weddings,0.479841401265078,0.5554971139976702,0.4610482620531559,0.5439507975414879,1,2,"['011000110', '011000010']","['home & living', 'weddings']",129401,15946,7973,radius: 2 ; differance: 1
1_2_100000001_000000001_world news_u.s. news_good news_weird news,0.7051504533868576,0.5852217517364658,0.7137184242061239,0.5783564275659683,1,2,"['100000001', '000000001']","['world news', 'u.s. news', 'good news', 'weird news']",86820,30188,15094,radius: 2 ; differance: 1
1_2_100011000_100001000_science_environment,0.5028373594335693,0.4844098772321428,0.5176581132510409,0.494180921388086,1,2,"['100011000', '100001000']","['science', 'environment']",165656,12544,6272,radius: 2 ; differance: 1
1_2_101000100_001000100_food & drink_style,0.5228936503867654,0.4826937013917253,0.5045989199998612,0.4787599125177522,1,2,"['101000100', '001000100']","['food & drink', 'style']",122094,41008,20504,radius: 2 ; differance: 1
1_2_101000100_101000101_food & drink_arts & culture,0.5384386864592419,0.4932435509956628,0.5177158701926254,0.4933650014937684,1,2,"['101000100', '101000101']","['food & drink', 'arts & culture']",129162,24716,12358,radius: 2 ; differance: 1
1_2_110011001_010011001_tech_education,0.5669001321137668,0.5106560182943212,0.5386359473860407,0.4975828136537949,1,2,"['110011001', '010011001']","['tech', 'education']",147952,6236,3118,radius: 2 ; differance: 1
1_2_111000100_101000100_travel_food & drink,0.4935042304769949,0.6178049791995985,0.4787998233052816,0.6106795177313522,1,2,"['111000100', '101000100']","['travel', 'food & drink']",123089,36672,18336,radius: 2 ; differance: 1
1_3_000000000_000000001_media_religion_good news_weird news,0.5594846642383917,0.4526815638904546,0.5889293431854061,0.4743160817475741,1,3,"['000000000', '000000001']","['media', 'religion', 'good news', 'weird news']",15078,19392,9696,radius: 3 ; differance: 1
1_3_000000000_000100000_media_religion_latino voices,0.5429069544824112,0.5162210129302283,0.5562611461083985,0.5119913529418116,1,3,"['000000000', '000100000']","['media', 'religion', 'latino voices']",23059,13302,6651,radius: 3 ; differance: 1
1_3_000101000_000100000_black voices_women_latino voices,0.5755490366828682,0.5387630961049445,0.5647902657908396,0.5433697317138996,1,3,"['000101000', '000100000']","['black voices', 'women', 'latino voices']",42068,18570,9285,radius: 3 ; differance: 1
1_3_000101010_000101000_queer voices_black voices_women,0.4812194832109195,0.5398568544257593,0.4856323750992335,0.5361266377361578,1,3,"['000101010', '000101000']","['queer voices', 'black voices', 'women']",100517,29004,14502,radius: 3 ; differance: 1
1_3_010000000_010001000_fifty_college,0.3769534624306684,0.4660377256533671,0.4384412388250763,0.4731422109661776,1,3,"['010000000', '010001000']","['fifty', 'college']",9813,5090,2545,radius: 3 ; differance: 1
1_3_010010001_010011001_business_crime_education,0.512869737014775,0.5082893423062839,0.5248264606561016,0.4971050692160765,1,3,"['010010001', '010011001']","['business', 'crime', 'education']",84369,21136,10568,radius: 3 ; differance: 1
1_3_010011011_010011001_money_education,0.4525928267017685,0.495621538140729,0.4431868145718562,0.4983567385737061,1,3,"['010011011', '010011001']","['money', 'education']",108607,5540,2770,radius: 3 ; differance: 1
1_3_011000110_011000010_home & living_weddings,0.4704167673385447,0.5605839389993152,0.4537390646664669,0.551362647857149,1,3,"['011000110', '011000010']","['home & living', 'weddings']",47375,15946,7973,radius: 3 ; differance: 1
1_3_100000001_000000001_world news_u.s. news_good news_weird news,0.664568439440212,0.4941435705706717,0.6864870911078192,0.4978408950052056,1,3,"['100000001', '000000001']","['world news', 'u.s. news', 'good news', 'weird news']",17576,30188,15094,radius: 3 ; differance: 1
1_3_100011000_100001000_science_environment,0.5084695112998164,0.4851070024330682,0.5251238050000537,0.4859705220260409,1,3,"['100011000', '100001000']","['science', 'environment']",120391,12544,6272,radius: 3 ; differance: 1
1_3_101000100_001000100_food & drink_style,0.5227574275259177,0.5275924590011767,0.5090787964902884,0.5278309546094734,1,3,"['101000100', '001000100']","['food & drink', 'style']",86572,41008,20504,radius: 3 ; differance: 1
1_3_101000100_101000101_food & drink_arts & culture,0.5460076116733348,0.5438650000402043,0.522620305287999,0.5398742464078464,1,3,"['101000100', '101000101']","['food & drink', 'arts & culture']",100902,24716,12358,radius: 3 ; differance: 1
1_3_110011001_010011001_tech_education,0.5803561105805805,0.505034188705857,0.5668831882792958,0.5165776534657741,1,3,"['110011001', '010011001']","['tech', 'education']",127391,6236,3118,radius: 3 ; differance: 1
1_3_111000100_101000100_travel_food & drink,0.4857556044561057,0.4868439501374764,0.4762404530975513,0.490023639596139,1,3,"['111000100', '101000100']","['travel', 'food & drink']",94045,36672,18336,radius: 3 ; differance: 1
1_4_000101000_000100000_black voices_women_latino voices,0.6014098686104971,0.4807363020302751,0.5920058751168089,0.4895113649007819,1,4,"['000101000', '000100000']","['black voices', 'women', 'latino voices']",19411,18570,9285,radius: 4 ; differance: 1
1_4_000101010_000101000_queer voices_black voices_women,0.5420606840051604,0.4900781664971724,0.5344742585746713,0.4952825834885924,1,4,"['000101010', '000101000']","['queer voices', 'black voices', 'women']",30428,29004,14502,radius: 4 ; differance: 1
1_4_010010001_010011001_business_crime_education,0.5430027145494003,0.5024525077419385,0.5636742481153738,0.5047494854612007,1,4,"['010010001', '010011001']","['business', 'crime', 'education']",44603,21136,10568,radius: 4 ; differance: 1
1_4_010011011_010011001_money_education,0.4887234292119016,0.5035652751893027,0.467962192117816,0.508958761583191,1,4,"['010011011', '010011001']","['money', 'education']",69946,5540,2770,radius: 4 ; differance: 1
1_4_011000110_011000010_home & living_weddings,0.4353596876225101,0.5497070816061148,0.4327682679218839,0.5588417826620253,1,4,"['011000110', '011000010']","['home & living', 'weddings']",20491,15946,7973,radius: 4 ; differance: 1
1_4_101000100_101000101_food & drink_arts & culture,0.5852744271542296,0.550652378162716,0.54846538772712,0.5658870879606686,1,4,"['101000100', '101000101']","['food & drink', 'arts & culture']",51833,24716,12358,radius: 4 ; differance: 1
1_4_110011001_010011001_tech_education,0.5849345767360452,0.5066449295427531,0.5607735106070957,0.5080726143177954,1,4,"['110011001', '010011001']","['tech', 'education']",79598,6236,3118,radius: 4 ; differance: 1
1_5_010011011_010011001_money_education,0.5281407942238266,0.4787075942603187,0.5030342844636966,0.4856653066050442,1,5,"['010011011', '010011001']","['money', 'education']",31556,5540,2770,radius: 5 ; differance: 1
1_5_110011001_010011001_tech_education,0.6486969040284618,0.5746494212462472,0.6235568839125663,0.5644687317378178,1,5,"['110011001', '010011001']","['tech', 'education']",21706,6236,3118,radius: 5 ; differance: 1
2_2_000000000_010001000_media_religion_college,0.4877499269791191,0.4717682308799255,0.50594281344761,0.4966174512151916,2,2,"['000000000', '010001000']","['media', 'religion', 'college']",52227,13330,6665,radius: 2 ; differance: 2
2_2_000000000_100001000_media_religion_environment,0.502629958693869,0.5138560615373843,0.5202937325891713,0.5098502338986504,2,2,"['000000000', '100001000']","['media', 'religion', 'environment']",48113,19174,9587,radius: 2 ; differance: 2
2_2_000000001_000100000_good news_weird news_latino voices,0.6442810962929536,0.4486336134797165,0.6398646577392874,0.482892821021363,2,2,"['000000001', '000100000']","['good news', 'weird news', 'latino voices']",93579,10610,5305,radius: 2 ; differance: 2
2_2_000000001_010000000_good news_weird news_fifty,0.4833801549322882,0.515230892567861,0.5278799647189768,0.5161586253420144,2,2,"['000000001', '010000000']","['good news', 'weird news', 'fifty']",68896,11152,5576,radius: 2 ; differance: 2
2_2_000000100_000000001_entertainment_comedy_good news_weird news,0.6063180576898353,0.5233003364410661,0.6255534355328203,0.5604998851738129,2,2,"['000000100', '000000001']","['entertainment', 'comedy', 'good news', 'weird news']",65945,53874,26937,radius: 2 ; differance: 2
2_2_000000100_000100000_entertainment_comedy_latino voices,0.5481006015153465,0.529005221793175,0.5583889174083719,0.5311859806057168,2,2,"['000000100', '000100000']","['entertainment', 'comedy', 'latino voices']",115640,47784,23892,radius: 2 ; differance: 2
2_2_000000100_010000000_entertainment_comedy_fifty,0.5190091995953848,0.4949474554678391,0.5291347695315306,0.5085514994966747,2,2,"['000000100', '010000000']","['entertainment', 'comedy', 'fifty']",40724,48326,24163,radius: 2 ; differance: 2
2_2_000000100_101000100_entertainment_comedy_food & drink,0.5467833722445375,0.5229653671371192,0.5460664002515421,0.524113802786128,2,2,"['000000100', '101000100']","['entertainment', 'comedy', 'food & drink']",109014,62396,31198,radius: 2 ; differance: 2
2_2_000101000_000000000_black voices_women_media_religion,0.5375497447038431,0.5099127519630549,0.5384764383147275,0.5069578207872338,2,2,"['000101000', '000000000']","['black voices', 'women', 'media', 'religion']",39883,27352,13676,radius: 2 ; differance: 2
2_2_000101000_010001000_black voices_women_college,0.5029809682394298,0.4772335884785768,0.4922428919868913,0.483852342942508,2,2,"['000101000', '010001000']","['black voices', 'women', 'college']",96654,18598,9299,radius: 2 ; differance: 2
2_2_000101000_100001000_black voices_women_environment,0.5126308779087771,0.5001530369281694,0.5118120838123253,0.495736754803869,2,2,"['000101000', '100001000']","['black voices', 'women', 'environment']",154334,24442,12221,radius: 2 ; differance: 2
2_2_000101010_000100000_queer voices_latino voices,0.4913490220260683,0.4868034072265017,0.495678656100549,0.4899306343124112,2,2,"['000101010', '000100000']","['queer voices', 'latino voices']",152559,14954,7477,radius: 2 ; differance: 2
2_2_001000100_101000101_style_arts & culture,0.4972314388174911,0.4667723006209713,0.49305640331031,0.4659748967168561,2,2,"['001000100', '101000101']","['style', 'arts & culture']",115689,31980,15990,radius: 2 ; differance: 2
2_2_010000000_000100000_fifty_latino voices,0.3681478079557461,0.4593339703441841,0.4185645685908996,0.4667094368241171,2,2,"['010000000', '000100000']","['fifty', 'latino voices']",68358,5062,2531,radius: 2 ; differance: 2
2_2_010000001_010001000_politics_sports_college,0.5598441350584706,0.5200084780076017,0.5496332208874289,0.5169276549556119,2,2,"['010000001', '010001000']","['politics', 'sports', 'college']",46959,83646,41823,radius: 2 ; differance: 2
2_2_010000001_010011001_politics_sports_education,0.558938066614521,0.5500958473514641,0.5471512876591906,0.5495966723207869,2,2,"['010000001', '010011001']","['politics', 'sports', 'education']",55450,83386,41693,radius: 2 ; differance: 2
2_2_010000010_010001000_wellness_parenting_divorce_college,0.4019528071720725,0.5442091270842648,0.4167257848995729,0.5445337303779126,2,2,"['010000010', '010001000']","['wellness', 'parenting', 'divorce', 'college']",60018,70522,35261,radius: 2 ; differance: 2
